Cell ID,Afterhyperpolarization (mV),Age (postnatal days),CTKE T type,CTKE T type confidence,CTKE T type top-3 (Top three mapping M1 cell types from CTKE with bootstrap-based confidence of mapping to each type),Cre (+ or -),ISI adaptation index,Inferred layer,Max number of APs,Membrane time constant (ms),Mouse genotype,RNA family (subclass),Sex,Spike frequency adaptation,Targeted layer,Upstroke-to-downstroke ratio,VISp Viewer T type,VISp Viewer T type top-3 (Top three mapping VISp/ALM cell types from Tasic et al 2018 and used in the VISp Viewer with bootstrap-based confidence of mapping to each type),VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
20171219_sample_3,-0.213224440813064,61,L4/5 IT_2,0.99,L4/5 IT_2 (99.4%),PV-,2.02257336343115,L5,11,14.1118661014677,Pvalb-Cre/wt; Ai9/wt,IT,M,0.571428571428571,L5,4.65787965551365,L5 IT ALM Lypd1 Gpr88,"L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L4/5,L4/5_IT_2,L4/5_IT_2,unk,unk,unk
20171219_sample_4,1.41772627830505,61,L5 ET_1,0.96,L5 ET_1 (95.6%),PV-,1.59064327485379,L5,22,12.0314388633986,Pvalb-Cre/wt; Ai9/wt,ET,M,0.833333333333333,L5,3.63906976259747,L5 PT VISp Krt80,L5 PT VISp Krt80 (97.0%),L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20171219_sample_6,0.434536486864089,61,L5 ET_2,0.82,"L5 ET_2 (81.6%), L5 ET_4 (12.1%), L5 ET_3 (5.1%)",PV-,0.819391634980988,L5,26,16.4713213623951,Pvalb-Cre/wt; Ai9/wt,ET,M,0.733333333333333,L5,3.57474791247271,L5 PT VISp Lgr5,L5 PT VISp Lgr5 (100.0%),L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_2,L5ET_2_ET_2,L5ET_2_ET_2,unk,unk,unk
20171219_sample_7,-2.59877741336822,61,L5 IT_1,0.61,"L5 IT_1 (61.3%), L4/5 IT_2 (37.3%)",PV-,1.94560669456066,L5,17,14.2551450812391,Pvalb-Cre/wt; Ai9/wt,IT,M,0.888888888888888,L5,4.05094687652092,L5 IT ALM Lypd1 Gpr88,"L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20171219_sample_8,-0.927560031414032,61,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (6.3%), L5 ET_4 (4.7%)",PV-,1.60119047619047,L5,14,15.4859378045053,Pvalb-Cre/wt; Ai9/wt,ET,M,1.0,L5,3.95051404045603,L5 PT VISp Krt80,"L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180102_sample_1,2.68858671188354,75,L5 ET_1,1.0,L5 ET_1 (100.0%),PV-,0.791666666666666,L5,9,25.2983393077227,Pvalb-Cre/wt; Ai9/wt,ET,M,0.8,L5,3.72306329000165,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (99.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180102_sample_2,0.6868876516819,75,L5 IT_1,0.61,"L5 IT_1 (60.9%), L5 IT_2 (23.9%), L5 IT_3 (8.9%)",PV-,10.0526315789473,L5,14,21.8061899001358,Pvalb-Cre/wt; Ai9/wt,IT,M,0.75,L5,4.41093104529968,L5 IT ALM Gkn1 Pcdh19,"L5 IT ALM Gkn1 Pcdh19 (57.0%), L5 IT ALM Cpa6 Gpr88 (21.0%), L5 IT VISp Col27a1 (18.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180102_sample_3,5.75397163629531,75,L5 ET_1,1.0,L5 ET_1 (99.7%),PV-,1.37546468401486,L5,18,20.8919934947412,Pvalb-Cre/wt; Ai9/wt,ET,M,0.8,L5,3.95811905862892,L5 PT ALM Slco2a1,"L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)",L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180102_sample_4,-2.15661898255348,75,L5 ET_1,0.92,"L5 ET_1 (91.7%), L5 ET_4 (4.0%)",PV-,3.64285714285714,L5,16,23.0187651012703,Pvalb-Cre/wt; Ai9/wt,ET,M,0.777777777777777,L5,3.87072900104438,L5 PT VISp Krt80,"L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180102_sample_5,1.29996985197067,75,L4/5 IT_2,0.86,"L4/5 IT_2 (86.0%), L5 IT_1 (5.9%), L5 ET_2 (3.1%)",PV-,1.34938621340887,L5,11,22.6206128596452,Pvalb-Cre/wt; Ai9/wt,IT,M,0.833333333333333,L5,5.26915091532265,L5 IT ALM Lypd1 Gpr88,"L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L4/5,L4/5_IT_2,L4/5_IT_2,unk,unk,unk
20180103_sample_1,-1.66894122958183,68,L5 ET_1,0.91,"L5 ET_1 (91.3%), L5 ET_4 (5.1%)",PV-,6.08403361344537,L5,16,22.384001981742,Pvalb-Cre/wt; Ai9/wt,ET,F,0.777777777777777,L5,3.76287521165151,L5 PT VISp Krt80,"L5 PT VISp Krt80 (93.0%), Oligo Synpr (4.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180103_sample_2,-3.841333091259,68,L5 ET_1,0.95,L5 ET_1 (95.0%),PV-,12.6813725490196,L5,24,18.6813107922091,Pvalb-Cre/wt; Ai9/wt,ET,F,0.846153846153846,L5,3.40621813894392,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (99.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180103_sample_3,1.24377757310867,68,L5 ET_1,0.98,L5 ET_1 (98.0%),PV-,2.11809523809524,L5,25,12.8381758574326,Pvalb-Cre/wt; Ai9/wt,ET,F,0.785714285714285,L5,3.68348048816977,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (100.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180103_sample_5,7.8783668577671,68,L5 IT_1,0.97,L5 IT_1 (97.1%),PV-,1.68402366863905,L5,18,18.8105359596377,Pvalb-Cre/wt; Ai9/wt,IT,F,0.8,L5,3.75190753089347,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (81.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%), L5 IT ALM Lypd1 Gpr88 (4.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180103_sample_6,-0.230226665735244,68,L5 IT_1,0.99,L5 IT_1 (99.1%),PV-,1.58114558472553,L5,20,16.9351585124298,Pvalb-Cre/wt; Ai9/wt,IT,F,0.818181818181818,L5,3.71971283156149,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (45.0%), L5 IT ALM Lypd1 Gpr88 (30.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180103_sample_7,0.778272747993469,68,L5 IT_1,0.93,"L5 IT_1 (92.9%), L4/5 IT_2 (3.6%)",PV-,3.88636363636363,L5,22,23.1667532053359,Pvalb-Cre/wt; Ai9/wt,IT,F,0.571428571428571,L5,3.85963750667466,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (41.0%), L5 IT ALM Cbln4 Fezf2 (27.0%), L5 IT ALM Lypd1 Gpr88 (13.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180103_sample_8,5.70572540163993,68,L5 IT_3,0.54,"L5 IT_3 (54.3%), L5 IT_1 (22.6%), L5 IT_2 (12.4%)",PV-,1.54181138124499,L5,25,10.6028410515715,Pvalb-Cre/wt; Ai9/wt,IT,F,0.785714285714285,L5,3.28996489956094,L5 IT VISp Col27a1,"L5 IT VISp Col27a1 (67.0%), L5 IT ALM Cpa6 Gpr88 (19.0%), L5 IT ALM Gkn1 Pcdh19 (10.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_3,L5IT_3_IT_3,L5IT_3_IT_3,unk,unk,unk
20180104_sample_2,3.61957773566246,69,L5 IT_3,0.48,"L5 IT_3 (48.0%), L5 IT_1 (46.3%), L5 IT_2 (4.9%)",PV-,1.44155844155844,L5,26,17.3480470468276,Pvalb-Cre/wt; Ai9/wt,IT,M,0.625,L5,3.86925507730649,L5 IT VISp Col27a1,"L5 IT VISp Col27a1 (55.0%), L5 IT ALM Cpa6 Gpr88 (18.0%), L4 IT VISp Rspo1 (12.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_3,L5IT_3_IT_3,L5IT_3_IT_3,unk,unk,unk
20180104_sample_3,7.93336331844329,69,L4/5 IT_2,0.86,"L4/5 IT_2 (85.6%), L5 IT_1 (13.9%)",PV-,1.42424242424242,L5,14,25.047871334297,Pvalb-Cre/wt; Ai9/wt,IT,M,0.75,L5,4.3169444937726,L5 IT ALM Tmem163 Dmrtb1,L5 IT ALM Tmem163 Dmrtb1 (100.0%),L5IT,L5IT_IT,L5IT_IT_ALM,L4/5,L4/5_IT_2,L4/5_IT_2,unk,unk,unk
20180104_sample_6,4.11950424313545,69,L5 ET_4,0.48,"L5 ET_4 (47.9%), L5 ET_2 (32.0%), L5 ET_3 (18.3%)",PV-,1.57508731082654,L5,21,24.0631146171419,Pvalb-Cre/wt; Ai9/wt,ET,M,0.75,L5,3.68936740446719,L5 PT VISp Lgr5,"L5 PT VISp Lgr5 (60.0%), L5 PT ALM Npsr1 (24.0%), L5 PT VISp C1ql2 Ptgfr (16.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_4,L5ET_4_ET_4,L5ET_4_ET_4,unk,unk,unk
20180105_sample_4,1.13695487380027,70,L5 IT_1,0.62,"L5 IT_1 (61.7%), L5 IT_3 (18.4%), L5 IT_2 (16.6%)",PV-,2.25,L5,20,22.7098041184874,Pvalb-Cre/wt; Ai9/wt,IT,M,0.818181818181818,L5,3.73673030699871,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT ALM Cbln4 Fezf2 (23.0%), L5 IT VISp Col27a1 (21.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180105_sample_5,-8.07270035147667,70,L5 IT_1,0.91,"L5 IT_1 (91.0%), L4/5 IT_2 (3.0%), L5 ET_1 (2.7%)",PV-,2.19615384615384,L5,13,19.8128665429959,Pvalb-Cre/wt; Ai9/wt,IT,M,0.625,L5,5.11697083062146,L4 IT VISp Rspo1,"L4 IT VISp Rspo1 (33.0%), L5 IT ALM Cpa6 Gpr88 (22.0%), L5 IT VISp Batf3 (17.0%)",L4IT,L4IT_IT,L4IT_IT_VISp,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180105_sample_6,3.13644483685493,70,L5 IT_1,0.45,"L5 IT_1 (45.0%), L5 IT_2 (39.7%), L5 IT_3 (8.4%)",PV-,2.97302158273381,L5,16,20.44635573188,Pvalb-Cre/wt; Ai9/wt,IT,M,0.777777777777777,L5,4.04808305687542,L5 IT ALM Gkn1 Pcdh19,"L5 IT ALM Gkn1 Pcdh19 (40.0%), L5 IT VISp Col27a1 (34.0%), L6 IT ALM Tgfb1 (13.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180108_sample_1,-1.70566141605377,64,L5 IT_1,1.0,L5 IT_1 (99.6%),PV-,3.99882214369846,L5,13,27.3586607770599,Pvalb-Cre/wt; Ai9/wt,IT,F,0.857142857142857,L5,4.10688901504221,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (57.0%), L5 IT ALM Tmem163 Arhgap25 (38.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180108_sample_10,-0.210452824831008,64,L5 ET_1,0.96,L5 ET_1 (95.7%),PV-,1.45573159366262,L5,22,12.7744627049396,Pvalb-Cre/wt; Ai9/wt,ET,F,0.75,L5,4.25485177421278,L5 PT VISp Krt80,L5 PT VISp Krt80 (97.0%),L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180108_sample_3,2.83507630228996,64,L5 IT_1,0.82,"L5 IT_1 (81.7%), L5 IT_2 (8.7%), L5 ET_1 (6.3%)",PV-,4.43206521739131,L5,19,31.8904610266829,Pvalb-Cre/wt; Ai9/wt,IT,F,0.727272727272727,L5,4.20938882689084,L5 IT ALM Tmem163 Arhgap25,"L5 IT ALM Tmem163 Arhgap25 (31.0%), L5 IT ALM Gkn1 Pcdh19 (26.0%), L5 IT ALM Cpa6 Gpr88 (24.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180108_sample_4,-1.31653249263763,64,L5 ET_4,0.49,"L5 ET_4 (48.9%), L6 CT Pou3f2 (11.1%), L5 ET_2 (9.1%)",PV-,1.33103448275862,L5,20,16.560109605696,Pvalb-Cre/wt; Ai9/wt,ET,F,0.818181818181818,L5,2.75779069040616,L5 PT VISp Lgr5,"L5 PT VISp Lgr5 (55.0%), L5 PT VISp C1ql2 Ptgfr (25.0%), L5 PT ALM Npsr1 (16.0%)",L5PT,L5PT_PT,L5PT_PT_VISp,L5ET_4,L5ET_4_ET_4,L5ET_4_ET_4,unk,unk,unk
20180108_sample_5,-1.72166526317596,64,L5 ET_2,0.58,"L5 ET_2 (57.7%), L5 ET_3 (24.4%), L5 ET_4 (17.7%)",PV-,5.74358974358974,L5,16,22.8241877026963,Pvalb-Cre/wt; Ai9/wt,ET,F,0.666666666666666,L5,3.86052202122144,L5 PT ALM Hpgd,"L5 PT ALM Hpgd (39.0%), L5 PT ALM Npsr1 (31.0%), L5 PT VISp Lgr5 (30.0%)",L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_2,L5ET_2_ET_2,L5ET_2_ET_2,unk,unk,unk
20180108_sample_7,-1.09393894672393,64,L5 IT_1,0.97,L5 IT_1 (96.9%),PV-,9.00711743772242,L5,15,28.7839133435533,Pvalb-Cre/wt; Ai9/wt,IT,F,0.666666666666666,L5,4.13504064926288,L5 IT VISp Hsd11b1 Endou,"L5 IT VISp Hsd11b1 Endou (44.0%), L5 IT ALM Cpa6 Gpr88 (27.0%), L5 IT VISp Whrn Tox2 (14.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180108_sample_8,4.02607768774032,64,L5 ET_1,0.94,"L5 ET_1 (93.9%), L5 ET_2 (5.6%)",PV-,7.65284974093263,L5,28,15.570336662548,Pvalb-Cre/wt; Ai9/wt,ET,F,0.625,L5,3.09144646808121,L5 PT ALM Slco2a1,L5 PT ALM Slco2a1 (95.0%),L5PT,L5PT_PT,L5PT_PT_ALM,L5ET_1,L5ET_1_ET_1,L5ET_1_ET_1,unk,unk,unk
20180108_sample_9,-0.520482659339904,64,L5 IT_1,0.92,"L5 IT_1 (92.1%), L5 IT_2 (4.4%)",PV-,2.23213114754098,L5,29,15.7613399529344,Pvalb-Cre/wt; Ai9/wt,IT,F,0.866666666666666,L5,3.7546166880828,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (72.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180109_sample_1,0.939033925533294,65,L5 IT_1,0.73,"L5 IT_1 (72.7%), L5 IT_3 (13.9%), L6 IT_1 (6.3%)",PV-,3.51202749140894,L5,17,30.6689076918518,Pvalb-Cre/wt; Ai9/wt,IT,M,0.888888888888888,L5,4.75515817168604,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT VISp Col27a1 (25.0%), L5 IT ALM Cbln4 Fezf2 (14.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180109_sample_2,1.83686986565589,65,L5 IT_3,0.55,"L5 IT_3 (55.0%), L5 IT_1 (37.1%), L5 IT_2 (7.1%)",PV-,1.24318181818181,L5,21,20.3417663769732,Pvalb-Cre/wt; Ai9/wt,IT,M,0.75,L5,3.77142678012098,L5 IT VISp Col27a1,"L5 IT VISp Col27a1 (55.0%), L4 IT VISp Rspo1 (24.0%), L5 IT ALM Cpa6 Gpr88 (9.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_3,L5IT_3_IT_3,L5IT_3_IT_3,unk,unk,unk
20180109_sample_5,4.48841601610183,65,L5 IT_1,0.72,"L5 IT_1 (72.3%), L5 IT_2 (23.1%)",PV-,1.53860640301318,L5,17,20.763628491128,Pvalb-Cre/wt; Ai9/wt,IT,M,0.7,L5,4.02611908364708,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (76.0%), L5 IT VISp Col27a1 (11.0%), L5 IT ALM Gkn1 Pcdh19 (8.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180110_sample_1,4.1469968855381,66,L5 IT_1,0.85,"L5 IT_1 (84.6%), L5 IT_3 (9.6%), L6 IT_1 (3.4%)",PV-,1.22238586156111,L5,19,12.5792339524385,Pvalb-Cre/wt; Ai9/wt,IT,M,0.727272727272727,L5,4.32329614027366,L5 IT VISp Col27a1,"L5 IT VISp Col27a1 (42.0%), L5 IT ALM Cbln4 Fezf2 (32.0%), L5 IT ALM Cpa6 Gpr88 (14.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180110_sample_2,6.27435743808746,66,L5 IT_2,0.55,"L5 IT_2 (54.6%), L5 IT_1 (31.7%), L5 IT_3 (6.7%)",PV-,1.26689655172413,L5,16,15.2351907232687,Pvalb-Cre/wt; Ai9/wt,IT,M,0.777777777777777,L5,3.78509963955048,L5 IT ALM Gkn1 Pcdh19,"L5 IT ALM Gkn1 Pcdh19 (52.0%), L5 IT ALM Cpa6 Gpr88 (43.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_2,L5IT_2_IT_2,L5IT_2_IT_2,unk,unk,unk
20180110_sample_3,0.368289649486541,66,L5 IT_1,1.0,L5 IT_1 (99.6%),PV-,2.23318385650223,L5,13,23.2895843894683,Pvalb-Cre/wt; Ai9/wt,IT,M,0.625,L5,3.4676699996587,L5 IT ALM Cpa6 Gpr88,L5 IT ALM Cpa6 Gpr88 (99.0%),L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180110_sample_4,7.98065774142742,66,L5 IT_1,0.61,"L5 IT_1 (61.3%), L5 IT_2 (26.0%), L6 CT Cpa6 (3.0%)",PV-,1.18864774624374,L5,17,15.8037012476826,Pvalb-Cre/wt; Ai9/wt,IT,M,0.888888888888888,L5,3.99978475466646,L5 IT ALM Cpa6 Gpr88,"L5 IT ALM Cpa6 Gpr88 (46.0%), L5 IT VISp Col27a1 (28.0%), L5 IT VISp Col6a1 Fezf2 (17.0%)",L5IT,L5IT_IT,L5IT_IT_ALM,L5IT_1,L5IT_1_IT_1,L5IT_1_IT_1,unk,unk,unk
20180110_sample_5,5.70569559931755,66,L5 IT_2,0.46,"L5 IT_2 (45.9%), L5 IT_1 (32.9%), L5 IT_3 (8.7%)",PV-,1.52377358490566,L5,14,13.4829815339303,Pvalb-Cre/wt; Ai9/wt,IT,M,0.75,L5,3.48697846068916,L5 IT VISp Col6a1 Fezf2,"L5 IT VISp Col6a1 Fezf2 (59.0%), L5 IT VISp Col27a1 (20.0%), L6 IT ALM Tgfb1 (15.0%)",L5IT,L5IT_IT,L5IT_IT_VISp,L5IT_2,L5IT_2_IT_2,L5IT_2_IT_2,unk,unk,unk
