Cell ID,AP maximum rate of rise (Upstroke) (mV/ms),Age (postnatal days),Anatomical Structure,Brain hemisphere,Cortical layer,Fluorescent protein positive,Genotype (full),Latency,Sex,T type assignment probability,T type class,T type class assignment probability,T type subclass,T type subclass assignment probability,VISp Viewer MET type,VISp Viewer T type,tau,VISp_T_1,VISp_T_2,VISp_T_3,CTKE_T_1,CTKE_T_2,CTKE_T_3,VISp_MET_1,VISp_MET_2,VISp_MET_3
606098116,263.666784200883,55,VISp,right,L2/3,positive,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,0.05354,M,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,Pvalb-MET-4,Pvalb Tpbg,6.0611442352249,Pvalb,Pvalb_Tpbg,Pvalb_Tpbg,unk,unk,unk,Pvalb,Pvalb_MET,
606271263,198.416288623832,56,VISp,left,L2/3,positive,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,0.00964,M,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,Pvalb-MET-5,Pvalb Vipr2,7.5404850696532,Pvalb,Pvalb_Vipr2,Pvalb_Vipr2,unk,unk,unk,Pvalb,Pvalb_MET,
606308411,372.368500198519,56,VISam,left,L2/3,positive,Vipr2-IRES2-Cre/wt;Slc32a1-T2A-FlpO/wt;Ai65(RCFL-tdT)/wt,0.01432,M,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,Pvalb-MET-5,Pvalb Vipr2,8.62982459286691,Pvalb,Pvalb_Vipr2,Pvalb_Vipr2,unk,unk,unk,Pvalb,Pvalb_MET,
611497391,208.895484643894,47,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02078,M,0.81,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Rspo4 Rxfp1 Chat,13.6620164574288,Vip,Vip_Rspo4,Vip_Rspo4_Rxfp1,unk,unk,unk,unk,unk,unk
612271508,274.354849822608,54,VISp,right,L2/3,positive,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,0.0234,F,0.98,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Rspo4 Rxfp1 Chat,12.474945790984,Vip,Vip_Rspo4,Vip_Rspo4_Rxfp1,unk,unk,unk,unk,unk,unk
612893105,408.176296654438,55,VISp,right,L2/3,positive,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,0.00876,F,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Rspo4 Rxfp1 Chat,11.4314976962402,Vip,Vip_Rspo4,Vip_Rspo4_Rxfp1,unk,unk,unk,unk,unk,unk
613432876,338.117293007812,56,VISp,right,L2/3,positive,Chat-IRES-Cre-neo/wt;Ai14(RCL-tdT)/wt,0.01666,F,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Rspo4 Rxfp1 Chat,12.5443075688761,Vip,Vip_Rspo4,Vip_Rspo4_Rxfp1,unk,unk,unk,unk,unk,unk
614728680,288.921453281542,51,VISp,left,L5,positive,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00926000000000004,F,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,Pvalb-MET-4,Pvalb Reln Itm2a,9.10808315872038,Pvalb,Pvalb_Reln,Pvalb_Reln_Itm2a,unk,unk,unk,Pvalb,Pvalb_MET,
623326230,339.531241402103,49,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0782,M,0.37,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-2,Sst Tac1 Tacr3,12.539564642176,Sst,Sst_Tac1,Sst_Tac1_Tacr3,unk,unk,unk,Sst,Sst_MET,
623326953,265.521257901655,49,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03924,M,0.85,MGE interneuron,0.97,Sst interneuron,0.97,,Sst Calb2 Pdlim5,18.791706069969,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
623415197,204.283586503356,50,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.04738,M,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,Pvalb-MET-4,Pvalb Tpbg,5.33182069817931,Pvalb,Pvalb_Tpbg,Pvalb_Tpbg,unk,unk,unk,Pvalb,Pvalb_MET,
623434306,286.944402107283,50,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02582,M,0.35,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-2,Sst Tac1 Htr1d,15.2335368843627,Sst,Sst_Tac1,Sst_Tac1_Htr1d,unk,unk,unk,Sst,Sst_MET,
623813235,316.52625018536,51,VISp,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00924,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Hpse Sema3c,17.1441413147197,Sst,Sst_Hpse,Sst_Hpse_Sema3c,unk,unk,unk,unk,unk,unk
623891125,129.724890274099,51,VISp,right,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01974,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Calb2 Pdlim5,36.9646340575224,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
623945953,149.211815286641,51,VISp,left,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03448,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Calb2 Pdlim5,23.8879190700273,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
623989470,280.837340886194,51,VISp,left,L6a,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03316,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Rxfp1 Prdm8,20.0480230081948,Sst,Sst_Rxfp1,Sst_Rxfp1_Prdm8,unk,unk,unk,unk,unk,unk
626069976,253.94038795314,52,VISpm,right,L4,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00716,F,0.99,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Calb2 Pdlim5,27.813699357667,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
626082009,223.990625181026,52,VISam,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01818,F,0.98,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Rxfp1 Prdm8,22.4220892489482,Sst,Sst_Rxfp1,Sst_Rxfp1_Prdm8,unk,unk,unk,unk,unk,unk
626103966,252.851651152711,52,VISam,right,L4,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0308,F,0.79,MGE interneuron,0.88,Sst interneuron,0.88,,Sst Calb2 Pdlim5,41.0770498831612,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
626153003,436.989405687981,52,VISp,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01696,F,0.34,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-12,Sst Hpse Cbln4,11.2373249143618,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,Sst,Sst_MET,
627867607,307.366960101946,53,VISp,right,L6a,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0194399999999999,F,0.22,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Myh8 Etv1,14.0769350695481,Sst,Sst_Myh8,Sst_Myh8_Etv1,unk,unk,unk,unk,unk,unk
627876797,293.287091263597,53,VISp,left,L2/3,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0338,F,0.62,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Calb2 Pdlim5,12.7358447989194,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
627881581,424.096968363525,53,VISp,left,L4,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02938,F,0.99,MGE interneuron,1.0,Sst interneuron,1.0,Sst-MET-8,Sst Hpse Cbln4,14.9469476145602,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,Sst,Sst_MET,
627883518,354.426965515191,53,VISp,left,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02154,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Hpse Sema3c,19.8253294130366,Sst,Sst_Hpse,Sst_Hpse_Sema3c,unk,unk,unk,unk,unk,unk
636854912,421.582246648546,57,VISp,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0306,M,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Hpse Cbln4,11.4724379092052,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,unk,unk,unk
636856236,445.106624882586,57,VISpm,right,L5,positive,Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01742,M,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Hpse Cbln4,29.7202342027779,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,unk,unk,unk
636946168,199.114149772132,55,VISp,right,L6a,positive,Chrna2-Cre_OE25/wt;Ai14(RCL-tdT)/wt,0.05824,F,1.0,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Rxfp1 Prdm8,20.0058803417311,Sst,Sst_Rxfp1,Sst_Rxfp1_Prdm8,unk,unk,unk,unk,unk,unk
637321656,369.119635134171,48,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01268,M,0.98,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Lmo1 Myl1,12.4440440252818,Vip,Vip_Lmo1,Vip_Lmo1_Myl1,unk,unk,unk,unk,unk,unk
637327988,358.385563311162,48,VISp,left,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.02372,M,0.88,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Crispld2 Kcne4,13.5159611446697,Vip,Vip_Crispld2,Vip_Crispld2_Kcne4,unk,unk,unk,unk,unk,unk
637329085,472.578130190346,48,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00878,M,0.34,CGE interneuron,1.0,Vip interneuron,0.51,,Vip Col15a1 Pde1a,9.36050278746867,Vip,Vip_Col15a1,Vip_Col15a1_Pde1a,unk,unk,unk,unk,unk,unk
637362685,363.428887929742,56,VISp,right,L2/3,positive,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,0.04576,F,0.82,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Calb2 Pdlim5,15.3759939797059,Sst,Sst_Calb2,Sst_Calb2_Pdlim5,unk,unk,unk,unk,unk,unk
637365495,182.101418351634,48,VISp,left,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01946,M,0.5,CGE interneuron,1.0,Vip interneuron,0.98,,Vip Pygm C1ql1,14.4481123440918,Vip,Vip_Pygm,Vip_Pygm_C1ql1,unk,unk,unk,unk,unk,unk
637379909,287.372402680122,56,VISpm,left,L5,positive,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,0.06256,F,0.35,MGE interneuron,1.0,Sst interneuron,1.0,,Sst Hpse Cbln4,20.9708099393665,Sst,Sst_Hpse,Sst_Hpse_Cbln4,unk,unk,unk,unk,unk,unk
637823753,199.068259015575,47,VISp,right,L4,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.01472,M,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Ptprt Pkp2,23.445928514042,Vip,Vip_Ptprt,Vip_Ptprt_Pkp2,unk,unk,unk,unk,unk,unk
637824915,199.432989072803,47,VISp,right,L4,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.0378399999999998,M,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,10.5614942790615,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
637824948,396.931829046392,47,VISp,left,L2/3,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.0126,M,0.96,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Chat Htr1f,11.7853170872244,Vip,Vip_Chat,Vip_Chat_Htr1f,unk,unk,unk,unk,unk,unk
637833144,166.571974375258,47,VISp,right,L1,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.1268,M,0.95,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,7.72523948813752,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
637839160,345.207793167431,47,VISp,right,L5,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.04912,M,0.97,CGE interneuron,1.0,Sncg interneuron,1.0,,Sncg Vip Itih5,31.7750620491889,Sncg,Sncg_Vip,Sncg_Vip_Itih5,unk,unk,unk,unk,unk,unk
637846989,316.949187612055,47,VISp,left,L2/3,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.07546,M,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,Lamp5-MET-1,Lamp5 Lsp1,6.17444947799922,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,Lamp5,Lamp5_MET,
637853303,241.123369366519,47,VISp,left,L2/3,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.0033,M,0.98,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Crispld2 Kcne4,11.7119287308322,Vip,Vip_Crispld2,Vip_Crispld2_Kcne4,unk,unk,unk,unk,unk,unk
637866154,249.251032377848,47,VISp,right,L5,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.05244,M,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,7.23151528501373,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
637879731,358.399368597155,53,VISp,left,L2/3,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.01652,M,0.81,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Lect1 Oxtr,16.2846872670864,Vip,Vip_Lect1,Vip_Lect1_Oxtr,unk,unk,unk,unk,unk,unk
637886938,166.044294457183,53,VISp,left,L2/3,positive,Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt,0.01984,M,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Igfbp6 Car10,23.6535032596395,Vip,Vip_Igfbp6,Vip_Igfbp6_Car10,unk,unk,unk,unk,unk,unk
637919747,319.342454036949,54,VISp,right,L4,positive,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0753,F,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,,Pvalb Reln Itm2a,7.75743614492101,Pvalb,Pvalb_Reln,Pvalb_Reln_Itm2a,unk,unk,unk,unk,unk,unk
638176297,234.622218700998,50,VISp,left,L5,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03134,M,0.5,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Igfbp4 Mab21l1,16.936961750493,Vip,Vip_Igfbp4,Vip_Igfbp4_Mab21l1,unk,unk,unk,unk,unk,unk
638205354,188.627365401376,58,VISpm,left,L1,positive,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,0.1195,F,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,6.51187304857129,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
638212024,172.219862770389,58,VISp,left,L2/3,positive,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,0.12672,F,0.99,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Ntn1 Npy2r,12.80541047588,Lamp5,Lamp5_Ntn1,Lamp5_Ntn1_Npy2r,unk,unk,unk,unk,unk,unk
638225388,259.059583642544,58,VISp,left,L2/3,positive,Oxtr-T2A-Cre/wt;Ai14(RCL-tdT)/wt,0.1136,F,0.99,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,6.69958264336869,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
638246905,204.36828520763,48,VISal,left,L2/3,positive,Rorb-IRES2-Cre/wt;Ai14(RCL-tdT)/wt,0.0574999999999998,M,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,9.22272730439537,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
638356222,410.698256454245,51,VISp,right,L5,positive,Pvalb-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00518,M,0.51,MGE interneuron,1.0,Pvalb interneuron,1.0,,Pvalb Sema3e Kank4,6.27203113492498,Pvalb,Pvalb_Sema3e,Pvalb_Sema3e_Kank4,unk,unk,unk,unk,unk,unk
638356259,476.130550153541,60,VISp,right,L4,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.93988,M,1.0,MGE interneuron,1.0,Pvalb interneuron,1.0,,Pvalb Reln Itm2a,8.01049389987294,Pvalb,Pvalb_Reln,Pvalb_Reln_Itm2a,unk,unk,unk,unk,unk,unk
638366507,400.470986337619,60,VISp,right,L5,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03718,M,0.58,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Lect1 Oxtr,11.9238952539657,Vip,Vip_Lect1,Vip_Lect1_Oxtr,unk,unk,unk,unk,unk,unk
638775149,289.326013306397,61,VISpm,right,L2/3,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01762,F,0.93,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Crispld2 Kcne4,15.8675824689515,Vip,Vip_Crispld2,Vip_Crispld2_Kcne4,unk,unk,unk,unk,unk,unk
638782470,388.898261377939,61,VISp,left,L5,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01,F,0.5,MGE interneuron,1.0,Pvalb interneuron,1.0,,Pvalb Reln Itm2a,32.3466509798401,Pvalb,Pvalb_Reln,Pvalb_Reln_Itm2a,unk,unk,unk,unk,unk,unk
639002031,368.553721646649,43,VISp,right,L4,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01712,F,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Igfbp4 Mab21l1,15.0711249201313,Vip,Vip_Igfbp4,Vip_Igfbp4_Mab21l1,unk,unk,unk,unk,unk,unk
639004612,319.70572672201,43,VISpm,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03012,F,0.54,CGE interneuron,1.0,Vip interneuron,1.0,Vip-MET-1,Vip Igfbp4 Mab21l1,15.1613189395405,Vip,Vip_Igfbp4,Vip_Igfbp4_Mab21l1,unk,unk,unk,Vip,Vip_MET,
639005493,355.07101024168,43,VISp,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01906,F,0.36,CGE interneuron,1.0,Vip interneuron,0.72,,Vip Pygm C1ql1,16.0076280412355,Vip,Vip_Pygm,Vip_Pygm_C1ql1,unk,unk,unk,unk,unk,unk
639016154,381.753959127871,62,VISp,right,L4,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0077,F,0.87,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Lmo1 Myl1,11.3625805506399,Vip,Vip_Lmo1,Vip_Lmo1_Myl1,unk,unk,unk,unk,unk,unk
639018115,244.827183566672,43,VISp,left,L5,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00886,F,0.69,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Lmo1 Myl1,18.3205687388683,Vip,Vip_Lmo1,Vip_Lmo1_Myl1,unk,unk,unk,unk,unk,unk
639018814,291.924535597296,62,VISp,right,L5,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.74062,F,0.82,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,6.26304660487031,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
639210975,308.469054729704,54,VISp,right,L2/3,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01738,M,0.94,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Igfbp4 Mab21l1,7.76379529222664,Vip,Vip_Igfbp4,Vip_Igfbp4_Mab21l1,unk,unk,unk,unk,unk,unk
639212193,432.690565018004,54,VISp,right,L2/3,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01818,M,0.23,CGE interneuron,0.76,Vip interneuron,0.46,,Vip Pygm C1ql1,11.9263085442911,Vip,Vip_Pygm,Vip_Pygm_C1ql1,unk,unk,unk,unk,unk,unk
639216491,357.836255319833,54,VISp,right,L2/3,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00958,M,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Chat Htr1f,9.50510248811129,Vip,Vip_Chat,Vip_Chat_Htr1f,unk,unk,unk,unk,unk,unk
639216521,190.639979599315,54,VISpm,right,L1,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.03988,M,1.0,CGE interneuron,1.0,Lamp5 interneuron,1.0,,Lamp5 Lsp1,6.90181863465968,Lamp5,Lamp5_Lsp1,Lamp5_Lsp1,unk,unk,unk,unk,unk,unk
639226535,299.346668490329,54,VISp,right,L2/3,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.0203,M,0.95,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Crispld2 Kcne4,12.2955046199363,Vip,Vip_Crispld2,Vip_Crispld2_Kcne4,unk,unk,unk,unk,unk,unk
639356925,248.614247703375,55,VISp,right,L5,positive,Slc32a1-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.00435999999999991,M,0.41,MGE interneuron,0.69,Pvalb interneuron,0.69,,Pvalb Th Sst,8.12402385197291,Pvalb,Pvalb_Th,Pvalb_Th_Sst,unk,unk,unk,unk,unk,unk
639380048,287.846448030486,45,VISpm,right,L2/3,positive,Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt,0.01482,M,1.0,CGE interneuron,1.0,Vip interneuron,1.0,,Vip Pygm C1ql1,16.5096468711353,Vip,Vip_Pygm,Vip_Pygm_C1ql1,unk,unk,unk,unk,unk,unk
